name,gridid,sector,product_type,deployment_type,product_ids,url,admin_url,has_main_product,logo_url
TRES Finance,1346,Finance,FinOps Tooling,Supported,22,https://explorer.thegrid.id/profiles/TRES_Finance,https://data.thegrid.id/app/dashboard#profile=1346,Yes,https://img.thegrid.id/upload/43401a2318bc40505feecaf65a3e0a81c04c906394ee979767b09421756c226d.svg
Mallow,1347,NFTs,NFT Marketplace,Supported,22,https://explorer.thegrid.id/profiles/Mallow,https://data.thegrid.id/app/dashboard#profile=1347,Yes,https://img.thegrid.id/upload/b10a26abbf556b7e5080333a75e620f9c14f30224e0fe26b1bfb39af142f6f88.svg
Web3Auth,1349,Infrastructure,Developer Tooling,Supported,22,https://explorer.thegrid.id/profiles/Web3Auth,https://data.thegrid.id/app/dashboard#profile=1349,Yes,https://img.thegrid.id/harvest/743064841b515711df15842ac64fb5b3e4f3ee3cf7b193ea1d6e4ffa4851175b.svg
Nest Wallet,1355,Asset Management,Wallet,Supported,22,https://explorer.thegrid.id/profiles/Nest_Wallet,https://data.thegrid.id/app/dashboard#profile=1355,Yes,https://img.thegrid.id/upload/4ce61c3469a13b18ef08cf32fa6d14beeff7428e9301fdae7f623cd191860aab.svg
FrodoBots,1356,Gaming,Internet of Things (IoT),Supported,22,https://explorer.thegrid.id/profiles/FrodoBots,https://data.thegrid.id/app/dashboard#profile=1356,Yes,https://img.thegrid.id/upload/96d10f847cd698a3ff817db4f9ace97c5407c30f9d5e6c7987e79c147d19735e.svg
Blockjoy,1357,Developer Tooling,Node Software,Supported,22,https://explorer.thegrid.id/profiles/Blockjoy,https://data.thegrid.id/app/dashboard#profile=1357,Yes,https://img.thegrid.id/upload/bb4f3d81bf6923483527ca0566ff00bc59bf61e3a1e0e9d027e4141201059c9e.svg
SideShift AI,1358,Asset Management,Decentralised Exchange,Supported,22,https://explorer.thegrid.id/profiles/SideShift_AI,https://data.thegrid.id/app/dashboard#profile=1358,Yes,https://img.thegrid.id/upload/1b3ff2e9db1f42dadca9d008ea010b69bf5c2e0a0b2e8ff58f7f12e18bf352eb.svg
Bybit,1362,Finance,Centralised Exchange,Supported,22,https://explorer.thegrid.id/profiles/Bybit,https://data.thegrid.id/app/dashboard#profile=1362,Yes,https://img.thegrid.id/harvest/4a8703a3e6375d10421559ba14743ec409553b1f3a16f9b9aede0f357d3e182c.png
Super Phoenix DAO,1364,Metaverse,ASSETS,Deployed,22 - 22,https://explorer.thegrid.id/profiles/Super_Phoenix_DAO,https://data.thegrid.id/app/dashboard#profile=1364,No,https://img.thegrid.id/upload/eee55f51741f02495bd9dc0cefc3c44d62150211d81641dc7569e9ba4324e116.png
Player2,1367,Gaming,Yield Aggregator,Deployed,22,https://explorer.thegrid.id/profiles/Player2,https://data.thegrid.id/app/dashboard#profile=1367,No,https://img.thegrid.id/harvest/3965b33a13d940bacf0247ae08fe831f09d959ab04cd650a6c753717b54b64c0.png
Incredibuild,1368,Developer Tooling,Developer Tooling,Supported,22,https://explorer.thegrid.id/profiles/Incredibuild,https://data.thegrid.id/app/dashboard#profile=1368,Yes,https://img.thegrid.id/upload/21dc74494e2e6597679f73bcabb64e14514276e6729bbda90f142f5700e6ad70.svg
RockawayX,1369,Venture Capital,Staking Infra,Supported,22,https://explorer.thegrid.id/profiles/RockawayX,https://data.thegrid.id/app/dashboard#profile=1369,No,https://img.thegrid.id/upload/2b94b74f866f2ce3ede375ab3142901d0f907a323c4cc19a46d43af0d47892fe.svg
Primitives,1373,Social,Social Platform,Deployed,22,https://explorer.thegrid.id/profiles/Primitives,https://data.thegrid.id/app/dashboard#profile=1373,Yes,https://img.thegrid.id/upload/184f4f495d0b1a189f6f8badb96b4e8ea6c29f9e26d7b4343adddf25d142cb66.png
MonkeDAO,1375,NFTs,NFT Marketplace,Deployed,22,https://explorer.thegrid.id/profiles/MonkeDAO,https://data.thegrid.id/app/dashboard#profile=1375,No,https://img.thegrid.id/upload/5e592f1c4c9e3436e51c4813e9d4584f3f5544759001f3d6e512f1f4ff01f707.png
Smithii,1376,Developer Tooling,Developer Tooling,Supported,22,https://explorer.thegrid.id/profiles/Smithii,https://data.thegrid.id/app/dashboard#profile=1376,Yes,https://img.thegrid.id/harvest/91bf8c8b333d58c217305c6ea2ee3f4ddeacdcb3945f619988845aa31ff8f450.png
OKX,1379,Finance,Centralised Exchange,Supported,22,https://explorer.thegrid.id/profiles/OKX,https://data.thegrid.id/app/dashboard#profile=1379,Yes,https://img.thegrid.id/upload/505863b60b122a7f40894f844a7381a74ce125b5299f0c9d9976cfe90d9c9ddf.svg
